Date/Time,Electricity Total [kWh] (Hourly),Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly)
01/01 1:00:00,5.505541689,0.688644005,2.038633459,0.00E+00,1.661087984,0.00E+00,4.61E-02,4.61E-02,4.61E-02,0.128562513,2.64E-02,9.29E-02,0.37961819,0.351395538
01/01 2:00:00,6.262516973,0.592016529,2.497874645,0.00E+00,2.19372484,0.00E+00,6.09E-02,6.09E-02,6.09E-02,7.50E-02,1.54E-02,7.62E-02,0.349528357,0.280072602
01/01 3:00:00,6.964220408,0.559170743,2.870685929,0.00E+00,2.586250801,0.00E+00,7.17E-02,7.17E-02,7.17E-02,5.36E-02,1.10E-02,6.23E-02,0.345475855,0.26063708
01/01 4:00:00,7.586198627,0.55433731,3.177905763,0.00E+00,2.888346558,0.00E+00,8.01E-02,8.01E-02,8.01E-02,5.36E-02,1.10E-02,5.40E-02,0.340612851,0.266096145
01/01 5:00:00,8.237207681,0.560400234,3.489819016,0.00E+00,3.143703317,0.00E+00,8.72E-02,8.72E-02,8.72E-02,5.36E-02,1.10E-02,6.58E-02,0.327746155,0.323538959
01/01 6:00:00,9.122211594,0.616343974,3.87396154,0.00E+00,3.276955617,0.00E+00,9.09E-02,9.09E-02,9.09E-02,5.36E-02,1.10E-02,8.01E-02,0.365738368,0.571812095
01/01 7:00:00,12.84073667,0.848699165,5.471557234,0.00E+00,4.405066107,0.00E+00,0.122189293,0.122189293,0.122189293,0.123205778,2.53E-02,0.140383655,0.422574718,1.037382137
01/01 8:00:00,10.79900118,1.110464061,4.24265727,0.00E+00,3.042567195,0.00E+00,8.44E-02,8.44E-02,8.44E-02,0.251768291,5.16E-02,0.228567474,0.449017299,1.169159592
01/01 9:00:00,8.838204068,1.046382928,3.333234971,0.00E+00,2.165380077,0.00E+00,6.01E-02,6.01E-02,6.01E-02,0.241054754,4.94E-02,0.301128191,0.37961819,1.141704957
01/01 10:00:00,7.319582834,0.907796876,2.72454263,0.00E+00,1.66176923,0.00E+00,4.61E-02,4.61E-02,4.61E-02,0.123205778,2.53E-02,0.375064854,0.323085777,1.040517689
01/01 11:00:00,6.431164739,0.90177843,2.295104707,0.00E+00,1.354499491,0.00E+00,3.76E-02,3.76E-02,3.76E-02,0.101778637,2.09E-02,0.395793166,0.33068422,0.917826088
01/01 12:00:00,3.466308386,0.883182375,0.867810932,0.00E+00,3.82E-02,0.00E+00,1.06E-03,1.06E-03,1.06E-03,0.101778637,2.09E-02,0.413608816,0.330785532,0.806862094
01/01 13:00:00,3.169945771,0.862599596,0.741099832,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.101778637,2.09E-02,0.3996568,0.325213341,0.718697565
01/01 14:00:00,3.00642682,0.835624596,0.686702686,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.101778637,2.09E-02,0.361436105,0.336459036,0.66352576
01/01 15:00:00,2.898975895,0.831357484,0.637896228,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.107135439,2.20E-02,0.331768009,0.355404486,0.613414249
01/01 16:00:00,3.029636575,0.891545797,0.643715515,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.133919315,2.75E-02,0.339922861,0.375160437,0.61787265
01/01 17:00:00,3.619106571,1.119593974,0.712803872,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.224984415,4.61E-02,0.389638974,0.443749045,0.682236291
01/01 18:00:00,4.724600982,1.538110341,0.850295362,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.417828218,8.57E-02,0.480422252,0.539084171,0.813160638
01/01 19:00:00,5.496608874,1.811789961,0.979210545,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.621385559,0.127452299,0.432594366,0.585282702,0.938893442
01/01 20:00:00,5.483005633,1.762819138,1.007028774,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.658882972,0.135143384,0.34959093,0.604126839,0.965413596
01/01 21:00:00,5.09519807,1.634984377,0.94167509,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.567817873,0.11646503,0.310730547,0.624895915,0.898629238
01/01 22:00:00,4.631673202,1.493870675,0.850517215,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.476752706,9.78E-02,0.293949376,0.610306906,0.808476324
01/01 23:00:00,4.33264323,1.217143537,0.967685149,0.00E+00,0.260773913,0.00E+00,7.23E-03,7.23E-03,7.23E-03,0.35890373,7.36E-02,0.234174255,0.528142414,0.670530232
01/02 1051968:00:00,4.703630035,0.94622253,1.405154376,0.00E+00,0.857762467,0.00E+00,2.38E-02,2.38E-02,2.38E-02,0.246411489,5.05E-02,0.151455748,0.45894593,0.515777495
01/02 1:00:00,5.055063697,0.676647057,1.830742937,0.00E+00,1.465573154,0.00E+00,4.07E-02,4.07E-02,4.07E-02,0.128562513,2.64E-02,8.64E-02,0.37961819,0.339019846
01/02 2:00:00,5.677873112,0.580666237,2.224477861,0.00E+00,1.926828523,0.00E+00,5.34E-02,5.34E-02,5.34E-02,7.50E-02,1.54E-02,7.22E-02,0.349528357,0.273572134
