Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.742455677041794,3.97860686195911,0.000000000000000E+000,3.60106133881057,0.000000000000000E+000,9.988752247382349E-002,9.988752247382349E-002,9.988752247382349E-002,0.128562513350658,2.636944018843528E-002,9.294299910333617E-002,0.379618189865542,0.351395586439853 
 01/01  02:00:00,0.638941197588252,4.18956349596242,0.000000000000000E+000,3.88541369065183,0.000000000000000E+000,0.107774989323919,0.107774989323919,0.107774989323919,7.499482716199374E-002,1.538217117002709E-002,7.618584051012475E-002,0.349528357362187,0.280072601775791 
 01/01  03:00:00,0.603780149276294,4.47890688592209,0.000000000000000E+000,4.19447175825419,0.000000000000000E+000,0.116347752120441,0.116347752120441,0.116347752120441,5.356771943759626E-002,1.098726765447209E-002,6.232654333565033E-002,0.345475854668135,0.260637080116068 
 01/01  04:00:00,0.594737288794225,4.63437196877283,0.000000000000000E+000,4.34481276354157,0.000000000000000E+000,0.120517964491591,0.120517964491591,0.120517964491591,5.356771943759626E-002,1.098726765447209E-002,5.397647371529803E-002,0.340612851435269,0.266096144859075 
 01/01  05:00:00,0.598058264018667,4.84743478122106,0.000000000000000E+000,4.50131908208216,0.000000000000000E+000,0.124859192518460,0.124859192518460,0.124859192518460,5.356771943759626E-002,1.098726765447209E-002,6.582291696649339E-002,0.327746155381645,0.323538959012774 
 01/01  06:00:00,0.652386087744361,5.17332146707317,0.000000000000000E+000,4.57631571390836,0.000000000000000E+000,0.126939475813350,0.126939475813350,0.126939475813350,5.356771943759626E-002,1.098726765447209E-002,8.007824464053613E-002,0.365738368138405,0.571811925697925 
 01/01  07:00:00,0.890299654321704,6.97130298948346,0.000000000000000E+000,5.90481213196301,0.000000000000000E+000,0.163789782800528,0.163789782800528,0.163789782800528,0.123205777980724,2.527070783085009E-002,0.140383655227083,0.422574718422518,1.03738186739184 
 01/01  08:00:00,1.15451428637675,5.83071942167425,0.000000000000000E+000,4.63062905616361,0.000000000000000E+000,0.128446038652666,0.128446038652666,0.128446038652666,0.251768291331382,5.164014801928536E-002,0.228567473812190,0.449017298501221,1.16915988259285 
 01/01  09:00:00,1.10772016517279,5.54451381137433,0.000000000000000E+000,4.37665879927965,0.000000000000000E+000,0.121401321177634,0.121401321177634,0.121401321177634,0.241054754093649,4.944269694347590E-002,0.301128191032485,0.379618189865542,1.14170507538598 
 01/01  10:00:00,0.979170157570391,5.29763243128944,0.000000000000000E+000,4.23485901431431,0.000000000000000E+000,0.117468028219012,0.117468028219012,0.117468028219012,0.123205777980724,2.527070783085009E-002,0.375064854196324,0.323085777283484,1.04051770622948 
