Date/Time,Electricity Total [kWh] (Hourly),Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly)
01/01 1:00:00,4.173604042,0.6711428617,1.407696926,0.00E+00,1.030151422,0.00E+00,2.86E-02,2.86E-02,2.86E-02,0.1285625134,2.64E-02,9.29E-02,0.3796181899,0.3513955678
01/01 2:00:00,5.025591739,0.5757655277,1.91200713,0.00E+00,1.607857329,0.00E+00,4.46E-02,4.46E-02,4.46E-02,7.50E-02,1.54E-02,7.62E-02,0.3495283574,0.280072597
01/01 3:00:00,5.640813098,0.5417796339,2.243716208,0.00E+00,1.95928108,0.00E+00,5.43E-02,5.43E-02,5.43E-02,5.36E-02,1.10E-02,6.23E-02,0.3454758547,0.2606370801
01/01 4:00:00,6.517775649,0.5402982075,2.67177977,0.00E+00,2.382220577,0.00E+00,6.61E-02,6.61E-02,6.61E-02,5.36E-02,1.10E-02,5.40E-02,0.3406128514,0.2660961323
01/01 5:00:00,7.037007597,0.5446296063,2.921269533,0.00E+00,2.575153841,0.00E+00,7.14E-02,7.14E-02,7.14E-02,5.36E-02,1.10E-02,6.58E-02,0.3277461554,0.3235389524
01/01 6:00:00,7.964987322,0.6011387994,3.325797094,0.00E+00,2.728791378,0.00E+00,7.57E-02,7.57E-02,7.57E-02,5.36E-02,1.10E-02,8.01E-02,0.3657383681,0.5718118882
01/01 7:00:00,10.771882,0.8215143876,4.491514099,0.00E+00,3.425023282,0.00E+00,9.50E-02,9.50E-02,9.50E-02,0.123205778,2.53E-02,0.1403836552,0.4225747184,1.037381827
01/01 8:00:00,9.330629685,1.091169,3.547047849,0.00E+00,2.346957829,0.00E+00,6.51E-02,6.51E-02,6.51E-02,0.2517682913,5.16E-02,0.2285674738,0.4490172985,1.169159537
01/01 9:00:00,8.296895142,1.039270874,3.076837141,0.00E+00,1.90898227,0.00E+00,5.30E-02,5.30E-02,5.30E-02,0.2410547541,4.94E-02,0.301128191,0.3796181899,1.141704934
01/01 10:00:00,6.729199105,0.9000397069,2.44488763,0.00E+00,1.38211425,0.00E+00,3.83E-02,3.83E-02,3.83E-02,0.123205778,2.53E-02,0.3750648542,0.3230857773,1.040517669
01/01 11:00:00,5.933928492,0.8952460827,2.059605991,0.00E+00,1.119000779,0.00E+00,3.10E-02,3.10E-02,3.10E-02,0.101778637,2.09E-02,0.3957931658,0.3306842198,0.9178260839
01/01 12:00:00,3.514127945,0.8838115975,0.8904951406,0.00E+00,6.08E-02,0.00E+00,1.69E-03,1.69E-03,1.69E-03,0.101778637,2.09E-02,0.4136088163,0.3307855324,0.8068620944
01/01 13:00:00,3.170011862,0.8625995957,0.741144975,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.101778637,2.09E-02,0.3996567997,0.3252133412,0.7187427073
01/01 14:00:00,3.006956698,0.8356245957,0.6869797222,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.101778637,2.09E-02,0.3614361047,0.3364590362,0.6638027967
01/01 15:00:00,2.897606247,0.8313574839,0.6372241353,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.1071354389,2.20E-02,0.3317680086,0.3554044863,0.6127421556
01/01 16:00:00,3.029798081,0.8915457974,0.6438121817,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.1339193152,2.75E-02,0.3399228606,0.3751604369,0.6179693166
01/01 17:00:00,3.619519681,1.119593974,0.712987163,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.224984415,4.61E-02,0.3896389744,0.443749045,0.6824195829
01/01 18:00:00,4.724361292,1.538110341,0.8501751736,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.4178282183,8.57E-02,0.480422252,0.5390841709,0.8130404489
