Year,Month,Day,Hour,Minute,Energy Generated (kW)
2019,1,1,0,0,0.00E+00
2019,1,1,0,30,0.00E+00
2019,1,1,1,0,0.00E+00
2019,1,1,1,30,0.00E+00
2019,1,1,2,0,0.00E+00
2019,1,1,2,30,0.00E+00
2019,1,1,3,0,0.00E+00
2019,1,1,3,30,0.00E+00
2019,1,1,4,0,0.00E+00
2019,1,1,4,30,0.00E+00
2019,1,1,5,0,0.00E+00
2019,1,1,5,30,0.00E+00
2019,1,1,6,0,0.00E+00
2019,1,1,6,30,0.00E+00
2019,1,1,7,0,0.00E+00
2019,1,1,7,30,1.75E-01
2019,1,1,8,0,5.35E-01
2019,1,1,8,30,1.41E+00
2019,1,1,9,0,1.95E+00
2019,1,1,9,30,2.29E+00
2019,1,1,10,0,2.56E+00
2019,1,1,10,30,2.78E+00
2019,1,1,11,0,2.92E+00
2019,1,1,11,30,3.01E+00
2019,1,1,12,0,3.02E+00
2019,1,1,12,30,2.97E+00
2019,1,1,13,0,2.86E+00
2019,1,1,13,30,2.69E+00
2019,1,1,14,0,2.45E+00
2019,1,1,14,30,2.17E+00
2019,1,1,15,0,1.80E+00
2019,1,1,15,30,1.38E+00
2019,1,1,16,0,9.07E-01
2019,1,1,16,30,4.10E-01
2019,1,1,17,0,0.00E+00
2019,1,1,17,30,0.00E+00
2019,1,1,18,0,0.00E+00
2019,1,1,18,30,0.00E+00
2019,1,1,19,0,0.00E+00
2019,1,1,19,30,0.00E+00
2019,1,1,20,0,0.00E+00
2019,1,1,20,30,0.00E+00
2019,1,1,21,0,0.00E+00
2019,1,1,21,30,0.00E+00
2019,1,1,22,0,0.00E+00
2019,1,1,22,30,0.00E+00
2019,1,1,23,0,0.00E+00
2019,1,1,23,30,0.00E+00
2019,1,2,0,0,0.00E+00
2019,1,2,0,30,0.00E+00
2019,1,2,1,0,0.00E+00
2019,1,2,1,30,0.00E+00
2019,1,2,2,0,0.00E+00
2019,1,2,2,30,0.00E+00
2019,1,2,3,0,0.00E+00
2019,1,2,3,30,0.00E+00
2019,1,2,4,0,0.00E+00
2019,1,2,4,30,0.00E+00
2019,1,2,5,0,0.00E+00
2019,1,2,5,30,0.00E+00
2019,1,2,6,0,0.00E+00
2019,1,2,6,30,0.00E+00
2019,1,2,7,0,0.00E+00
2019,1,2,7,30,2.77E-01
2019,1,2,8,0,6.75E-01
2019,1,2,8,30,1.32E+00
2019,1,2,9,0,1.84E+00
2019,1,2,9,30,2.16E+00
2019,1,2,10,0,2.41E+00
2019,1,2,10,30,2.60E+00
2019,1,2,11,0,2.72E+00
2019,1,2,11,30,2.77E+00
2019,1,2,12,0,2.77E+00
2019,1,2,12,30,2.70E+00
2019,1,2,13,0,2.58E+00
2019,1,2,13,30,2.41E+00
2019,1,2,14,0,2.19E+00
2019,1,2,14,30,1.95E+00
2019,1,2,15,0,1.64E+00
2019,1,2,15,30,1.27E+00
2019,1,2,16,0,8.40E-01
2019,1,2,16,30,3.59E-01
2019,1,2,17,0,0.00E+00
2019,1,2,17,30,0.00E+00
2019,1,2,18,0,0.00E+00
2019,1,2,18,30,0.00E+00
2019,1,2,19,0,0.00E+00
2019,1,2,19,30,0.00E+00
2019,1,2,20,0,0.00E+00
2019,1,2,20,30,0.00E+00
2019,1,2,21,0,0.00E+00
2019,1,2,21,30,0.00E+00
2019,1,2,22,0,0.00E+00
2019,1,2,22,30,0.00E+00
2019,1,2,23,0,0.00E+00
2019,1,2,23,30,0.00E+00
2019,1,3,0,0,0.00E+00
2019,1,3,0,30,0.00E+00
2019,1,3,1,0,0.00E+00
2019,1,3,1,30,0.00E+00
2019,1,3,2,0,0.00E+00
2019,1,3,2,30,0.00E+00
2019,1,3,3,0,0.00E+00
2019,1,3,3,30,0.00E+00
2019,1,3,4,0,0.00E+00
2019,1,3,4,30,0.00E+00
2019,1,3,5,0,0.00E+00
2019,1,3,5,30,0.00E+00
2019,1,3,6,0,0.00E+00
2019,1,3,6,30,0.00E+00
2019,1,3,7,0,0.00E+00
2019,1,3,7,30,5.34E-01
2019,1,3,8,0,1.03E+00
2019,1,3,8,30,1.48E+00
2019,1,3,9,0,1.86E+00
2019,1,3,9,30,2.16E+00
2019,1,3,10,0,2.40E+00
2019,1,3,10,30,2.57E+00
2019,1,3,11,0,2.69E+00
2019,1,3,11,30,2.75E+00
2019,1,3,12,0,2.75E+00
2019,1,3,12,30,2.71E+00
2019,1,3,13,0,2.61E+00
2019,1,3,13,30,2.45E+00
2019,1,3,14,0,2.24E+00
2019,1,3,14,30,2.01E+00
2019,1,3,15,0,1.68E+00
2019,1,3,15,30,1.30E+00
2019,1,3,16,0,8.78E-01
2019,1,3,16,30,4.10E-01
2019,1,3,17,0,0.00E+00
2019,1,3,17,30,0.00E+00
2019,1,3,18,0,0.00E+00
2019,1,3,18,30,0.00E+00
2019,1,3,19,0,0.00E+00
2019,1,3,19,30,0.00E+00
2019,1,3,20,0,0.00E+00
2019,1,3,20,30,0.00E+00
2019,1,3,21,0,0.00E+00
2019,1,3,21,30,0.00E+00
2019,1,3,22,0,0.00E+00
2019,1,3,22,30,0.00E+00
2019,1,3,23,0,0.00E+00
2019,1,3,23,30,0.00E+00
2019,1,4,0,0,0.00E+00
2019,1,4,0,30,0.00E+00
2019,1,4,1,0,0.00E+00
2019,1,4,1,30,0.00E+00
2019,1,4,2,0,0.00E+00
2019,1,4,2,30,0.00E+00
2019,1,4,3,0,0.00E+00
2019,1,4,3,30,0.00E+00
2019,1,4,4,0,0.00E+00
2019,1,4,4,30,0.00E+00
2019,1,4,5,0,0.00E+00
2019,1,4,5,30,0.00E+00
2019,1,4,6,0,0.00E+00
2019,1,4,6,30,0.00E+00
2019,1,4,7,0,0.00E+00
2019,1,4,7,30,4.63E-01
2019,1,4,8,0,7.25E-01
2019,1,4,8,30,1.34E+00
2019,1,4,9,0,1.73E+00
2019,1,4,9,30,2.08E+00
2019,1,4,10,0,2.34E+00
2019,1,4,10,30,2.53E+00
2019,1,4,11,0,2.66E+00
2019,1,4,11,30,2.74E+00
2019,1,4,12,0,2.76E+00
2019,1,4,12,30,2.71E+00
2019,1,4,13,0,2.61E+00
